order_id,order_date,customer_id,product_id,region,quantity,unit_price,discount_percent,fulfillment_days,delivery_delay,returned
1,2024-11-27,2797,318,South,9,222.28,5,4,0,0
2,2022-08-24,1544,272,North,7,99.0,5,7,0,0
3,2024-06-24,2314,217,West,7,475.42,0,9,1,1
4,2023-12-17,2361,372,North,1,104.19,0,3,0,0
5,2024-04-27,1608,257,West,3,215.0,5,2,0,0
6,2024-08-18,2158,325,East,7,134.44,15,9,0,0
7,2022-05-25,2109,251,South,7,347.98,20,9,1,0
8,2022-05-10,1747,331,South,3,169.28,20,6,0,0
9,2024-01-20,1878,200,North,6,104.96,20,9,0,0
10,2023-05-24,1928,370,West,8,383.65,15,1,0,0
11,2022-12-24,1077,348,North,6,229.2,0,1,0,0
12,2024-07-03,2750,288,East,8,284.85,20,3,0,0
13,2023-04-14,1529,308,North,1,267.38,5,3,1,0
14,2024-06-26,2140,284,South,8,21.51,20,10,1,0
15,2022-09-10,2808,373,West,8,442.45,20,10,0,0
16,2023-10-31,2595,328,East,6,462.17,10,6,0,0
17,2023-02-03,1103,231,West,6,252.8,20,1,0,0
18,2023-07-17,2514,208,North,3,72.76,5,10,0,0
19,2023-08-04,1617,204,East,2,498.21,20,3,0,0
20,2024-09-28,2792,361,North,7,92.03,0,7,0,0
21,2024-01-24,2370,211,East,4,292.49,0,5,0,0
22,2022-05-22,1251,227,South,5,242.64,15,5,0,0
23,2024-10-28,2881,233,West,8,49.12,5,6,0,0
24,2022-11-16,2075,370,North,7,406.18,10,3,1,0
25,2024-04-09,1261,281,South,4,276.6,5,2,1,0
26,2023-05-29,1642,298,East,8,51.07,5,4,0,0
27,2022-11-13,1201,379,North,9,478.19,15,8,0,0
28,2022-07-29,2939,281,South,3,297.71,10,8,0,0
29,2023-12-30,1726,200,East,6,477.61,20,9,0,0
30,2023-09-20,2847,267,West,8,101.91,15,10,1,0
31,2023-03-08,1413,344,West,9,234.87,0,2,0,0
32,2023-09-26,1545,251,East,4,314.79,5,2,0,0
33,2023-04-02,2564,333,South,9,229.22,15,5,0,0
34,2023-06-27,2118,273,East,3,134.49,5,8,0,0
35,2024-12-31,1833,218,East,1,352.75,5,6,1,0
36,2023-05-31,2107,367,South,7,144.61,10,2,0,0
37,2024-08-22,2315,371,North,2,147.46,0,5,0,0
38,2024-03-03,2176,331,South,5,372.22,0,9,1,1
39,2023-05-13,2808,375,North,3,418.93,10,11,0,0
40,2024-12-03,2641,307,West,8,107.42,20,10,0,0
41,2024-11-16,1591,380,South,6,253.88,0,5,0,0
42,2023-09-14,1691,236,North,5,343.68,20,8,0,0
43,2024-06-02,2474,280,East,9,475.47,15,11,0,0
44,2022-01-16,2972,250,West,7,344.57,20,6,0,0
45,2024-12-24,2902,395,South,4,83.07,20,7,0,0
46,2022-07-16,2311,372,East,6,207.52,20,3,1,0
47,2022-01-26,2267,310,West,6,423.06,15,7,0,0
48,2024-11-12,1679,276,East,2,198.55,15,10,0,0
49,2024-09-26,2067,257,West,9,102.35,5,8,0,0
50,2022-06-05,2878,391,North,9,361.09,20,8,0,0
51,2024-07-22,2462,248,North,4,27.37,10,9,0,0
52,2022-11-10,2389,291,North,9,155.21,5,2,0,1
53,2023-08-19,2739,333,East,4,114.18,5,10,0,0
54,2023-10-11,2997,212,East,9,51.11,15,8,0,0
55,2024-01-22,1617,334,North,3,341.42,0,4,0,0
56,2022-09-01,1683,339,North,3,187.69,5,7,0,0
57,2023-08-10,2370,368,North,7,252.56,15,8,0,0
58,2024-07-17,2916,315,East,4,91.15,20,1,0,0
59,2023-11-27,1561,353,East,4,364.25,0,7,0,0
60,2024-06-15,1970,276,South,2,334.01,10,6,0,0
61,2023-04-07,2743,265,North,4,132.46,20,2,0,0
62,2023-07-19,2022,354,North,4,23.32,15,10,0,0
63,2023-04-15,2800,270,North,5,248.14,5,7,0,0
64,2022-05-30,2071,345,East,8,51.05,5,2,1,1
65,2023-12-17,2856,285,West,1,312.85,5,10,0,0
66,2022-09-21,1290,223,East,4,182.03,15,7,0,0
67,2022-03-19,1099,219,North,5,491.07,10,11,0,0
68,2023-12-14,1062,312,West,7,472.77,15,1,0,0
69,2024-12-03,1923,291,West,1,240.05,5,7,0,0
70,2023-06-17,2752,385,East,9,478.89,15,4,0,0
71,2024-05-21,2868,343,East,2,468.4,5,5,0,0
72,2024-08-22,1653,305,North,5,43.26,15,2,1,0
73,2023-07-24,1984,214,North,3,356.63,10,11,1,0
74,2022-07-30,1588,384,South,2,158.7,15,3,0,0
75,2022-04-07,2361,248,East,6,354.36,5,7,0,0
76,2022-09-27,1993,389,West,1,133.75,15,11,0,0
77,2024-10-31,2066,376,South,5,256.69,15,6,0,0
78,2022-10-07,2213,240,South,9,284.52,0,7,0,0
79,2024-04-29,2358,299,South,4,359.94,15,1,0,1
80,2024-06-08,1342,349,North,2,332.5,0,4,0,1
81,2022-06-02,2895,379,East,9,483.9,20,8,0,0
82,2023-02-21,1352,389,North,9,287.44,15,3,0,0
83,2023-08-30,2031,332,North,5,383.03,5,4,0,0
84,2023-05-05,2557,373,East,1,497.31,5,11,0,1
85,2022-06-02,1875,359,South,6,330.21,0,10,0,0
86,2024-06-02,2291,270,South,6,134.11,0,2,0,0
87,2024-05-15,1833,357,West,7,132.93,0,7,1,0
88,2022-05-11,1447,282,South,9,120.56,15,2,1,0
89,2023-09-08,2643,364,West,5,227.71,0,2,0,0
90,2022-09-24,2545,321,West,9,342.03,15,1,0,0
91,2023-05-05,2017,386,North,7,281.52,0,4,0,0
92,2023-04-16,2611,304,South,9,220.36,0,2,0,0
93,2023-12-08,1249,335,East,8,486.99,15,6,0,0
94,2022-11-24,2277,301,North,3,56.16,10,8,0,0
95,2022-06-26,2597,383,East,4,78.94,5,6,0,1
96,2024-11-05,1637,320,North,5,277.07,20,6,0,1
97,2024-06-20,2320,318,North,3,221.18,20,7,0,0
98,2022-06-20,1810,361,South,4,126.68,10,4,0,1
99,2022-01-21,2105,260,West,4,216.01,20,11,0,0
100,2023-09-23,2945,391,South,2,458.46,15,10,0,0
101,2022-10-06,1290,223,West,8,203.09,5,8,0,0
102,2023-05-01,2070,395,East,3,224.64,5,11,0,0
103,2023-09-19,1112,308,North,5,499.52,10,2,0,1
104,2023-09-02,1264,396,North,4,199.75,15,2,0,0
105,2024-10-31,2280,255,North,2,245.33,10,3,1,1
106,2022-07-03,2350,297,East,3,253.02,20,1,1,0
107,2022-11-14,2611,350,East,2,221.38,5,3,0,0
108,2023-02-10,1020,215,East,7,93.91,10,3,0,1
109,2023-05-21,2959,270,West,4,283.14,5,10,0,1
110,2024-11-15,2788,262,West,1,30.46,0,4,0,0
111,2024-06-29,2678,373,West,6,268.89,5,5,0,0
112,2022-05-22,2451,202,West,8,31.56,0,8,0,0
113,2024-03-22,1864,294,West,4,331.94,5,11,0,0
114,2023-11-28,2958,247,West,7,435.48,5,11,0,0
115,2024-06-30,2286,265,West,5,324.3,10,5,1,0
116,2024-10-16,2127,377,West,2,315.43,20,7,0,1
117,2023-03-27,1623,345,South,9,308.96,0,1,1,0
118,2022-07-19,1384,210,South,2,33.51,0,1,1,0
119,2023-02-25,1911,230,West,8,52.95,20,11,0,0
120,2024-05-19,1699,235,East,1,44.55,10,10,0,0
121,2024-01-31,2981,359,East,5,377.42,10,7,0,0
122,2022-01-22,2351,218,North,6,334.88,20,3,0,0
123,2022-03-19,1934,222,North,4,115.18,0,6,0,0
124,2022-08-08,1782,255,North,3,470.8,5,9,0,0
125,2023-11-21,2171,379,South,5,457.74,10,5,0,0
126,2023-01-05,1156,373,North,7,434.99,10,4,0,0
